X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
-10.0074, 1.8865, 7.4556, 11675
-4.6188, -0.7546, 10.5948, 11705
-3.0792, -1.8865, 7.848, 11753
-1.9245, -1.1319, 8.6328, 11782
-1.9245, -1.1319, 9.809999, 11828
-1.9245, 0, 10.2024, 11876
-1.9245, -0.7546, 10.9872, 11906
-1.1547, -1.1319, 9.809999, 11951
-1.5396, -0.7546, 9.0252, 11982
-1.9245, 0, 9.4176, 12045
-1.9245, 0.3773, 9.809999, 12077
-1.5396, -1.5092, 9.0252, 12107
-1.1547, -0.7546, 9.4176, 12154
-1.5396, -0.3773, 10.5948, 12187
-1.1547, -0.7546, 9.809999, 12232
-1.5396, -0.3773, 9.809999, 12278
-1.5396, -0.7546, 9.809999, 12309
-1.1547, -0.7546, 9.4176, 12355
-1.5396, -0.3773, 9.809999, 12386
-1.5396, -0.3773, 9.809999, 12432
-1.5396, -0.3773, 9.4176, 12479
-1.5396, 0, 9.4176, 12511
-1.9245, -0.3773, 9.809999, 12554
-2.3094, 0, 9.809999, 12603
-2.6943, -0.3773, 10.5948, 12634
-3.4641, -0.3773, 10.2024, 12682
-3.4641, -1.1319, 9.0252, 12713
-3.849, -1.8865, 9.4176, 12754
-5.7735, 0, 10.5948, 12794
-5.0037, -1.1319, 8.2404, 12839
-3.4641, -1.8865, 6.6708, 12870
-3.4641, -0.3773, 9.0252, 12917
-1.5396, -0.3773, 8.6328, 12965
0.7698, 0, 7.848, 12996
1.1547, 0.7546, 10.9872, 13042
1.1547, -0.3773, 10.2024, 13073
1.5396, -0.3773, 10.2024, 13119
1.9245, 0.7546, 9.809999, 13168
2.3094, 0.3773, 9.4176, 13198
2.6943, 0.3773, 9.809999, 13245
2.3094, 1.5092, 10.2024, 13276
1.9245, 0.7546, 10.2024, 13322
1.9245, 1.5092, 9.809999, 13370
1.1547, 1.8865, 10.9872, 13401
1.1547, 1.5092, 10.9872, 13448
1.1547, 0.7546, 9.809999, 13479
0.7698, 0.7546, 9.809999, 13525
0.7698, 1.1319, 9.4176, 13572
0, 0.7546, 10.2024, 13603
0, 1.5092, 10.2024, 13649
-0.3849, 1.1319, 9.809999, 13680
0, 1.5092, 9.809999, 13726
0, 1.1319, 9.809999, 13773
0, 1.1319, 9.4176, 13805
0, 1.1319, 9.809999, 13849
0.3849, 1.1319, 9.809999, 13883
1.5396, 0.7546, 10.5948, 13930
3.849, 1.5092, 10.5948, 13960
6.9282, 1.5092, 10.5948, 14006
10.3923, 2.2638, 13.3416, 14053
11.547, 1.5092, 12.9492, 14084
8.0829, 0.7546, 8.2404, 14131
3.0792, -1.1319, 5.886, 14177
-5.0037, -5.2822, 3.1392, 14208
-13.8564, -3.3957, 9.809999, 14256
-16.1658, 1.1319, 10.5948, 14286
-10.0074, 1.5092, 12.5568, 14332
-5.3886, 2.6411, 11.3796, 14365
-3.4641, 0, 10.5948, 14427
-2.3094, -1.8865, 8.6328, 14457
