C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
15791,6500,392,0.2720234
15807,6500,392,0.2720234
15823,6500,392,0.2720234
15838,6500,392,0.2720234
15853,6500,392,0.2720234
15864,6500,392,0.2720234
15891,0,392,0.2720234
15901,0,392,0.2720234
15916,0,392,0.2720234
15932,0,392,0.2720234
15947,0,392,0.2720234
15962,0,392,0.2720234
15979,0,392,0.2720234
16000,0,406,0.2929483
16010,0,406,0.2929483
16026,0,406,0.2929483
16041,0,406,0.2929483
16057,0,406,0.2929483
16073,0,406,0.2929483
16088,0,406,0.2929483
16106,0,406,0.2929483
16119,0,406,0.2929483
16134,0,406,0.2929483
16150,0,406,0.2929483
16166,0,406,0.2929483
16182,0,418,0.2510985
16198,0,418,0.2510985
16219,0,418,0.2510985
16230,0,418,0.2510985
16247,0,418,0.2510985
16262,0,418,0.2510985
16277,0,418,0.2510985
16293,0,418,0.2510985
16308,0,418,0.2510985
16325,0,418,0.2510985
16338,0,418,0.2510985
16353,0,418,0.2510985
16368,0,418,0.2510985
16384,0,418,0.2510985
16401,0,417,-0.02092488
16415,0,417,-0.02092488
16438,0,417,-0.02092488
16446,0,417,-0.02092488
16461,0,417,-0.02092488
16477,0,417,-0.02092488
16492,0,417,-0.02092488
16507,0,417,-0.02092488
16523,0,417,-0.02092488
16543,0,417,-0.02092488
16555,0,417,-0.02092488
16566,0,417,-0.02092488
16586,0,417,-0.02092488
16606,0,417,0
16613,0,417,0
16631,0,417,0
16653,0,417,0
16662,0,417,0
16679,0,417,0
16694,0,417,0
16709,0,417,0
16722,0,417,0
16740,0,417,0
16759,0,417,0
16770,0,417,0
16785,0,417,0
16802,0,417,0
16816,0,417,0
16831,0,417,0
16847,0,417,0
16867,0,417,0
16878,0,417,0
16894,0,417,0
16909,0,417,0
16925,0,417,0
16940,0,417,0
16956,0,417,0
16975,0,417,0
16986,0,417,0
17002,0,417,0
17017,0,417,0
17033,0,417,0
17064,0,417,0
17087,0,417,0
17095,0,417,0
17111,0,417,0
17142,0,417,0
17157,0,417,0
17172,0,417,0
17188,0,417,0
17207,0,417,0
17219,0,417,0
17236,0,417,0
17236,0,417,0
17267,0,417,0
17298,0,417,0
17317,0,417,0
17328,0,417,0
17344,0,417,0
17359,0,417,0
17375,0,417,0
17407,0,417,0
17423,0,417,0
17436,0,417,0
17451,0,417,0
17467,0,417,0
17482,0,417,0
17498,0,417,0
17514,0,417,0
17532,0,417,0
17544,0,417,0
17559,0,417,0
17576,0,417,0
17588,0,417,0
17606,0,417,0
17623,0,417,0
17635,0,417,0
17652,0,417,0
17665,0,417,0
17684,0,417,0
17699,0,417,0
17715,0,417,0
17731,0,417,0
17750,0,417,0
17762,0,417,0
17777,0,417,0
17793,0,417,0
17812,0,417,0
17823,0,417,0
17839,0,417,0
17859,0,417,0
17870,0,417,0
17886,0,417,0
17901,0,417,0
17917,0,417,0
17932,0,417,0
17948,0,417,0
17967,0,417,0
17978,0,417,0
17994,0,417,0
18011,0,417,0
18023,0,417,0
18039,0,417,0
18056,0,417,0
18074,0,417,0
18086,0,417,0
18102,0,417,0
18117,0,417,0
18132,0,417,0
18147,0,417,0
18162,0,417,0
18182,0,417,0
18193,0,417,0
18208,0,417,0
18225,0,417,0
18240,0,417,0
18255,0,417,0
18271,0,417,0
18290,0,417,0
18302,0,417,0
18317,0,417,0
18333,0,417,0
18348,0,417,0
18363,0,417,0
18379,0,417,0
18397,0,417,0
18414,0,417,0
18424,0,417,0
18439,0,417,0
18455,0,417,0
18472,0,417,0
18488,0,417,0
18505,0,417,0
18519,0,417,0
18534,0,417,0
18549,0,417,0
18566,0,417,0
18581,0,417,0
18597,0,417,0
18616,0,417,0
18633,0,417,0
18643,0,417,0
18658,0,417,0
18673,0,417,0
18690,0,417,0
18706,0,417,0
18724,0,417,0
18737,0,417,0
18753,0,417,0
18768,0,417,0
18784,0,417,0
18799,0,417,0
18814,0,417,0
18836,0,417,0
18845,0,417,0
18877,0,417,0
18892,0,417,0
18907,0,417,0
18922,0,417,0
18939,0,417,0
18957,0,417,0
18969,0,417,0
18985,0,417,0
19001,0,417,0
19021,0,417,0
19032,0,417,0
19046,0,417,0
19065,0,417,0
19077,0,417,0
19093,0,417,0
19109,0,417,0
19125,0,417,0
19140,0,417,0
19155,0,417,0
19175,0,417,0
19187,0,417,0
19202,0,417,0
19217,0,417,0
19238,0,417,0
19249,0,417,0
19264,0,417,0
19283,0,417,0
19284,0,417,0
19311,0,417,0
19325,0,417,0
19342,0,417,0
19358,0,417,0
19374,0,417,0
19397,0,417,0
19421,0,417,0
19439,0,417,0
19453,0,417,0
19467,0,417,0
19483,0,417,0
19502,0,417,0
19517,0,417,0
19530,0,417,0
19545,0,417,0
19561,0,417,0
19577,0,417,0
19591,0,417,0
19611,0,417,0
19629,0,417,0
19638,0,417,0
19653,0,417,0
19668,0,417,0
19684,0,417,0
19700,0,417,0
19719,0,417,0
19731,0,417,0
19746,0,417,0
19757,0,417,0
19777,0,417,0
19793,0,417,0
19799,0,417,0
19829,0,417,0
19846,0,417,0
19857,0,417,0
19873,0,417,0
19889,0,417,0
19904,0,417,0
19920,0,417,0
19942,0,417,0
19951,0,417,0
19962,0,417,0
19982,0,417,0
19998,0,417,0
20013,0,417,0
20032,0,417,0
20048,0,417,0
20060,0,417,0
20077,0,417,0
20092,0,417,0
20107,0,417,0
20123,0,417,0
20138,0,417,0
20158,0,417,0
20169,0,417,0
20178,0,417,0
20199,0,417,0
20215,0,417,0
20234,0,417,0
20247,0,417,0
20266,0,417,0
20278,0,417,0
20294,0,417,0
20299,0,417,0
20324,0,417,0
20339,0,417,0
20354,0,417,0
20373,0,417,0
20386,0,417,0
20395,0,417,0
20418,0,417,0
20431,0,417,0
20450,0,417,0
20463,0,417,0
20476,0,417,0
20493,0,417,0
20508,0,417,0
20524,0,417,0
20540,0,417,0
20557,0,417,0
20572,0,417,0
20590,0,417,0
20602,0,417,0
20618,0,417,0
20636,0,417,0
20649,0,417,0
20665,0,417,0
20680,0,417,0
20699,0,417,0
20712,0,417,0
20727,0,417,0
20744,0,417,0
20758,0,417,0
20773,0,417,0
20789,0,417,0
20810,0,417,0
20819,0,417,0
20836,0,417,0
20858,0,417,0
20866,0,417,0
20882,0,417,0
20897,0,417,0
20918,0,417,0
20929,0,417,0
20944,0,417,0
20958,0,417,0
20975,0,417,0
20991,0,417,0
21005,0,417,0
21024,0,417,0
21036,0,417,0
21059,0,417,0
21067,0,417,0
21083,0,417,0
21099,0,417,0
21114,0,417,0
21134,0,417,0
21145,0,417,0
21161,0,417,0
21176,0,417,0
21192,0,417,0
21206,0,417,0
21222,0,417,0
21241,0,417,0
21261,0,417,0
21269,0,417,0
21284,0,417,0
21300,0,417,0
21315,0,417,0
21331,0,417,0
21351,0,417,0
21363,0,417,0
21378,0,417,0
