C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
9068,0,103,0.2510985
9084,0,103,0.2510985
9093,0,103,0.2510985
9116,0,103,0.2510985
9136,0,103,0.2510985
9146,0,103,0.2510985
9162,0,103,0.2510985
9178,0,103,0.2510985
9180,0,103,0.2510985
9209,0,103,0.2510985
9224,0,103,0.2510985
9231,0,103,0.2510985
9255,0,103,0.2510985
9285,0,116,0.2720234
9287,0,116,0.2720234
9302,0,116,0.2720234
9317,0,116,0.2720234
9333,0,116,0.2720234
9353,0,116,0.2720234
9365,0,116,0.2720234
9381,0,116,0.2720234
9397,0,116,0.2720234
9413,0,116,0.2720234
9429,0,116,0.2720234
9444,0,116,0.2720234
9463,0,116,0.2720234
9484,0,130,0.2929483
9491,0,130,0.2929483
9500,0,130,0.2929483
9522,0,130,0.2929483
9538,0,130,0.2929483
9553,0,130,0.2929483
9575,0,130,0.2929483
9584,0,130,0.2929483
9602,0,130,0.2929483
9615,0,130,0.2929483
9630,0,130,0.2929483
9646,0,130,0.2929483
9661,0,130,0.2929483
9690,0,144,0.2929483
9692,0,144,0.2929483
9695,0,144,0.2929483
9718,0,144,0.2929483
9739,0,144,0.2929483
9743,0,144,0.2929483
9770,0,144,0.2929483
9789,0,144,0.2929483
9801,0,144,0.2929483
9817,0,144,0.2929483
9832,0,144,0.2929483
9848,0,144,0.2929483
9863,0,144,0.2929483
9893,0,160,0.3347981
9899,0,160,0.3347981
9910,0,160,0.3347981
9925,0,160,0.3347981
9940,0,160,0.3347981
9957,0,160,0.3347981
9972,0,160,0.3347981
9987,0,160,0.3347981
10006,0,160,0.3347981
10018,0,160,0.3347981
10034,0,160,0.3347981
10050,0,160,0.3347981
10066,0,160,0.3347981
10094,0,177,0.3557229
10098,0,177,0.3557229
10117,0,177,0.3557229
10129,0,177,0.3557229
10144,0,177,0.3557229
10159,0,177,0.3557229
10175,0,177,0.3557229
10190,0,177,0.3557229
10207,0,177,0.3557229
10216,0,177,0.3557229
10237,0,177,0.3557229
10253,0,177,0.3557229
10258,0,177,0.3557229
10297,0,195,0.3766478
10298,0,195,0.3766478
10313,0,195,0.3766478
10332,0,195,0.3766478
10344,0,195,0.3766478
10360,0,195,0.3766478
10376,0,195,0.3766478
